CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
6G,0 N EUTAW ST,LARCENY,Other,M,38.0,WHITE,CENTRAL,2023-05-05,6:45 PM,2023,5,May
6D,2200 SIDNEY AVE,LARCENY FROM AUTO,Other,F,30.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-05,6:00 PM,2023,5,May
7C,5100 REISTERSTOWN RD,AUTO THEFT,Other,M,68.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-05,6:00 PM,2023,5,May
7C,1400 N CALVERT ST,AUTO THEFT,Other,F,41.0,OTHER,CENTRAL,2023-05-06,5:00 AM,2023,6,May
6D,500 N PULASKI ST,LARCENY FROM AUTO,Other,F,39.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-06-02,7:00 AM,2023,2,June
6J,800 N HOWARD ST,LARCENY,Other,M,28.0,WHITE,CENTRAL,2023-06-02,7:00 PM,2023,2,June
7C,2200 FLEETWOOD AVE,AUTO THEFT,Other,F,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-03,2:00 AM,2023,3,June
7C,1000 CATHEDRAL ST,AUTO THEFT,Other,F,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-03,5:00 AM,2023,3,June
7C,1400 THAMES ST,AUTO THEFT,Other,F,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-03,1:30 AM,2023,3,June
7C,3700 WOODRIDGE RD,AUTO THEFT,Other,F,45.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-03,1:30 AM,2023,3,June
7C,1700 ABBOTSTON ST,AUTO THEFT,Other,F,62.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-02,10:00 PM,2023,2,June
7C,3600 EASTWOOD DR,AUTO THEFT,Other,F,55.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-03,1:30 AM,2023,3,June
