CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/21/2023, 6:33 PM",4B,1800 St Paul Street,AGG. ASSAULT,BLUNT_OBJECT,M,62,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/14/2023, 6:00 PM",7C,2700 PULASKI HWY,AUTO THEFT,,F,69,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"5/14/2023, 12:40 PM",7C,4700 GREENSPRING AVE,AUTO THEFT,,F,73,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/14/2023, 9:50 AM",4A,300 N POPPLETON ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/14/2023, 9:30 AM",4E,4700 AMBERLEY AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,53,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/14/2023, 9:53 AM",4E,0 N BEECHFIELD AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,43,,SOUTHWEST
"5/14/2023, 10:25 AM",4E,500 N POTOMAC ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,,SOUTHEAST
"5/14/2023, 10:00 AM",4E,1800 ORLEANS ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,31,WHITE,EASTERN
"5/14/2023, 11:06 AM",4B,2900 HARFORD RD,AGG. ASSAULT,PERSONAL_WEAPONS,F,34,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/14/2023, 10:45 AM",6F,1500 W NORTH AVE,LARCENY,,M,65,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/14/2023, 8:00 AM",7C,2700 LIBERTY HEIGHTS AVE,AUTO THEFT,,F,30,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/15/2023, 2:00 AM",4C,2600 E FEDERAL ST,AGG. ASSAULT,ASPHYXIATION,F,49,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/14/2023, 4:48 PM",4B,1000 WILMINGTON AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,16,WHITE,SOUTHWEST
"5/15/2023, 5:30 AM",3AO,500 E 33RD ST,ROBBERY,HANDGUN,M,38,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/15/2023, 2:58 AM",6F,3600 W FRANKLIN ST,LARCENY,,F,53,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/14/2023, 8:00 PM",6F,2700 W COLD SPRING LN,LARCENY,,F,64,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
