CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"4/23/2023, 5:55 AM",6D,1600 RAMBLEWOOD RD,LARCENY FROM AUTO,,,,,NORTHEAST
"4/23/2023, 2:30 AM",6C,4700 ERDMAN AVE,LARCENY,,,,,EASTERN
"4/23/2023, 12:55 AM",6C,4600 FALLS RD,LARCENY,,,,,NORTHERN
"4/23/2023, 1:00 AM",6F,4000 W NORTHERN PKWY,LARCENY,,,,,NORTHWEST
"4/22/2023, 2:20 PM",6F,4300 PARK HEIGHTS AVE,LARCENY,,,,,NORTHWEST
"4/22/2023, 4:23 PM",6C,700 W 40TH ST,LARCENY,,,,,NORTHERN
"4/22/2023, 10:07 AM",5B,3000 WATERVIEW AVE,BURGLARY,,,,,SOUTHERN
"4/22/2023, 4:02 PM",9S,3700 TOWANDA AVE,SHOOTING,FIREARM,Male,55,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"4/22/2023, 9:40 AM",3AJF,2400 BARCLAY ST,ROBBERY - CARJACKING,HANDGUN,M,41,,EASTERN
"4/22/2023, 9:00 AM",4B,4300 CONNECTICUT AVE,AGG. ASSAULT,PERSONAL_WEAPONS,M,43,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/22/2023, 9:00 AM",4E,4300 CONNECTICUT AVE,COMMON ASSAULT,PERSONAL_WEAPONS,U,,,SOUTHWEST
"4/22/2023, 9:41 AM",4E,1400 MOSHER ST,COMMON ASSAULT,,M,30,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/12/2023, 9:30 AM",6D,2400 PELHAM AVE,LARCENY FROM AUTO,,F,53,WHITE,NORTHEAST
"5/13/2023, 12:00 AM",6J,3100 BAKER ST,LARCENY,,F,66,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/13/2023, 1:30 AM",6D,300 W MONUMENT ST,LARCENY FROM AUTO,,F,46,,CENTRAL
"5/12/2023, 6:45 AM",5A,1400 BROENING HWY,BURGLARY,,M,55,WHITE,SOUTHEAST
"5/12/2023, 6:30 AM",4E,1800 SPENCE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,61,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/13/2023, 2:00 AM",6D,200 N CALVERT ST,LARCENY FROM AUTO,,M,25,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/13/2023, 1:30 AM",7C,900 St Dunstans Road,AUTO THEFT,,M,46,,NORTHERN
"5/12/2023, 6:45 PM",7C,2500 JEFFERSON ST,AUTO THEFT,,M,18,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"5/12/2023, 5:00 PM",4E,4600 EDMONDSON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,34,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/12/2023, 7:22 PM",3AJO,2200 N FULTON AVE,ROBBERY - CARJACKING,BLUNT_OBJECT,F,33,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/13/2023, 5:00 AM",2A,4200 FLOWERTON RD,RAPE,,F,30,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/13/2023, 5:00 AM",2A,400 W LOMBARD ST,RAPE,PERSONAL_WEAPONS,F,25,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/12/2023, 6:30 AM",4E,1800 SPENCE ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,59,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/12/2023, 7:20 AM",3P,100 W NORTH AVE,ROBBERY,PERSONAL_WEAPONS,F,29,WHITE,CENTRAL
"5/13/2023, 12:00 AM",7C,1000 W BARRE ST,AUTO THEFT,,M,35,WHITE,SOUTHERN
"5/13/2023, 4:00 AM",7C,1100 W NORTHERN PKWY,AUTO THEFT,,M,43,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/12/2023, 11:00 PM",6D,2300 BRADDISH AVE,LARCENY FROM AUTO,,F,45,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"6/10/2023, 7:00 PM",4E,3200 LEVERTON AVE,COMMON ASSAULT,,F,25,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"6/10/2023, 9:00 PM",6F,200 E SARATOGA ST,LARCENY,,F,50,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/11/2023, 4:00 AM",7C,2500 GWYNNS FALLS PKWY,AUTO THEFT,,F,22,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"6/11/2023, 2:00 AM",4E,1700 N CHARLES ST,COMMON ASSAULT,,M,46,WHITE,CENTRAL
"6/11/2023, 4:00 AM",3AO,1700 E LOMBARD ST,ROBBERY,PERSONAL_WEAPONS,M,37,WHITE,SOUTHEAST
"6/11/2023, 2:30 AM",7C,100 S ROBINSON ST,AUTO THEFT,,M,22,WHITE,SOUTHEAST
"6/11/2023, 5:15 AM",4E,900 S CATON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,52,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/11/2023, 5:00 AM",4E,500 N BOULDIN ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,49,WHITE,SOUTHEAST
"6/10/2023, 3:30 PM",6J,,LARCENY,,F,65,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/11/2023, 5:00 AM",3AO,1000 W 36TH ST,ROBBERY,PERSONAL_WEAPONS,M,25,WHITE,NORTHERN
"6/10/2023, 3:00 PM",7C,3500 CARLISLE AVE,AUTO THEFT,,F,48,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/10/2023, 3:52 PM",3JF,600 S CHARLES ST,ROBBERY,FIREARM,F,26,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/11/2023, 1:30 AM",7C,500 S WICKHAM RD,AUTO THEFT,,M,39,,SOUTHWEST
"6/11/2023, 4:44 AM",7C,3800 E PRATT ST,AUTO THEFT,,M,28,WHITE,SOUTHEAST
"6/10/2023, 9:45 PM",7C,22ND ST & ST PAUL ST,AUTO THEFT,,M,25,WHITE,NORTHERN
"6/10/2023, 10:30 AM",4E,800 GRETNA CT,COMMON ASSAULT,,F,44,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/11/2023, 2:15 AM",6F,MARTIN LUTHER KING JR BL & W FRANKLIN,LARCENY,,M,33,WHITE,CENTRAL
"5/30/2023, 11:00 PM",4E,1600 PENNSYLVANIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,19,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/31/2023, 12:00 AM",4E,5100 PIMLICO RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,29,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/31/2023, 1:00 AM",4A,5500 E LOMBARD ST,AGG. ASSAULT,FIREARM,M,34,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"5/31/2023, 12:30 AM",3AO,2000 RAMBLEWOOD RD,ROBBERY,PERSONAL_WEAPONS,F,18,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/30/2023, 4:30 PM",5A,2500 E BIDDLE ST,BURGLARY,,M,55,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/30/2023, 11:30 AM",7C,900 CATOR AVE,AUTO THEFT,,M,49,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/31/2023, 12:00 AM",7C,300 E BIDDLE ST,AUTO THEFT,,M,63,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/30/2023, 3:44 PM",4B,5300 BRABANT RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,50,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/30/2023, 3:05 PM",4A,0 E FAYETTE ST,AGG. ASSAULT,HANDGUN,M,43,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/30/2023, 3:00 PM",3AO,3200 GARRISON BLVD,ROBBERY,PERSONAL_WEAPONS,M,60,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/30/2023, 4:05 PM",4A,700 N LUZERNE AVE,AGG. ASSAULT,FIREARM,M,32,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"5/30/2023, 11:10 PM",4E,1100 E COLD SPRING LN,COMMON ASSAULT,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/30/2023, 11:30 PM",7C,4400 St Georges Avenue,AUTO THEFT,,F,33,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/30/2023, 11:50 PM",4E,2700 BAKER ST,COMMON ASSAULT,,M,45,BLACK_OR_AFRICAN_AMERICAN,WESTERN
