CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
6F,200 N Liberty St,LARCENY,PERSONAL_WEAPONS,F,26.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-13,3:10 AM,2023,13,May
6F,300 KEY HWY,LARCENY,Other,M,27.0,WHITE,CENTRAL,2023-05-13,1:30 AM,2023,13,May
6F,300 KEY HWY,LARCENY,Other,F,28.0,WHITE,CENTRAL,2023-05-13,1:30 AM,2023,13,May
6F,4800 ROLAND AVE,LARCENY,Other,F,18.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-13,3:00 AM,2023,13,May
4A,4100 TOWNSEND AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,28.0,OTHER,SOUTHERN,2023-05-13,12:50 AM,2023,13,May
4A,4100 TOWNSEND AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,35.0,OTHER,SOUTHERN,2023-05-13,12:50 AM,2023,13,May
4E,900 FLEET ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,7.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-05-13,1:15 AM,2023,13,May
4E,2000 W FAYETTE ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,38.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-12,11:30 PM,2023,12,May
7C,1700 E NORTHERN PKWY,AUTO THEFT,Other,M,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-13,1:10 AM,2023,13,May
7C,900 CHERRY HILL RD,AUTO THEFT,Other,F,64.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-12,1:31 PM,2023,12,May
4A,1200 LINWORTH AVE,AGG. ASSAULT,FIREARM,F,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-12,2:30 PM,2023,12,May
7C,2500 N HOWARD ST,AUTO THEFT,Other,M,48.0,WHITE,NORTHERN,2023-06-09,8:00 AM,2023,9,June
6F,1400 E COLD SPRING LN,LARCENY,Other,F,52.0,OTHER,NORTHEAST,2023-06-09,8:10 PM,2023,9,June
5A,300 DOLPHIN ST,BURGLARY,Other,U,38.0,OTHER,CENTRAL,2023-06-09,9:33 AM,2023,9,June
6J,4800 SETON DR,LARCENY,Other,U,38.0,OTHER,NORTHWEST,2023-06-09,7:30 PM,2023,9,June
6D,5800 YORK RD,LARCENY FROM AUTO,Other,U,38.0,OTHER,NORTHERN,2023-06-09,11:00 PM,2023,9,June
9S,800 W FAIRMOUNT AVE,SHOOTING,FIREARM,M,55.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-06-09,11:54 PM,2023,9,June
4B,1600 NORMAL AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,41.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-10,2:54 AM,2023,10,June
4E,3800 WABASH AVE,COMMON ASSAULT,Other,F,45.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-06-09,1:30 PM,2023,9,June
4B,1600 ABBOTSTON ST,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,44.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-09,11:30 PM,2023,9,June
6F,900 PENNSYLVANIA AVE,LARCENY,Other,F,29.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-10,3:47 AM,2023,10,June
6F,200 N CALVERT ST,LARCENY,Other,M,31.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-09,1:00 PM,2023,9,June
4B,100 S EXETER ST,AGG. ASSAULT,BLUNT_OBJECT,M,17.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-10,12:10 AM,2023,10,June
4B,100 S EXETER ST,AGG. ASSAULT,BLUNT_OBJECT,F,69.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-10,12:10 AM,2023,10,June
6F,2100 E MONUMENT ST,LARCENY,Other,M,54.0,OTHER,EASTERN,2023-06-09,10:30 PM,2023,9,June
4E,0 N KRESSON ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,24.0,WHITE,SOUTHEAST,2023-06-10,12:36 AM,2023,10,June
6D,600 W SARATOGA ST,LARCENY FROM AUTO,Other,F,19.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-10,1:15 AM,2023,10,June
7C,1200 CEDARCROFT RD,AUTO THEFT,Other,M,34.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-09,10:28 PM,2023,9,June
4D,400 N LINWOOD AVE,AGG. ASSAULT,Other,M,53.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-09,11:35 PM,2023,9,June
4E,5700 WABASH AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,47.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-30,4:15 PM,2023,30,May
4D,1300 PENNSYLVANIA AVE,AGG. ASSAULT,Other,F,18.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-30,2:35 PM,2023,30,May
6F,4800 OVERTON ST,LARCENY,PERSONAL_WEAPONS,F,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-30,7:50 PM,2023,30,May
5A,3600 SPAULDING AVE,BURGLARY,PERSONAL_WEAPONS,F,43.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-30,11:20 PM,2023,30,May
4C,20 Calvert St,AGG. ASSAULT,OTHER,F,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-30,11:20 PM,2023,30,May
7C,800 LYNDHURST ST,AUTO THEFT,Other,F,45.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-31,1:00 AM,2023,31,May
7C,3800 PARKVIEW AVE,AUTO THEFT,Other,M,42.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-30,7:00 PM,2023,30,May
3P,600 E 33RD ST,ROBBERY,KNIFE_CUTTING_INSTRUMENT,M,47.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-30,9:50 PM,2023,30,May
7C,5600 BURTIS AVE,AUTO THEFT,Other,F,18.0,OTHER,NORTHWEST,2023-05-30,12:36 PM,2023,30,May
6D,100 N MONTFORD AVE,LARCENY FROM AUTO,Other,M,83.0,OTHER,SOUTHEAST,2023-05-30,8:00 PM,2023,30,May
4A,2400 St Paul Street,AGG. ASSAULT,AUTOMATIC_HANDGUN,U,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-30,11:58 AM,2023,30,May
5F,3000 PULASKI HWY,BURGLARY,Other,M,44.0,OTHER,SOUTHEAST,2023-05-30,6:00 AM,2023,30,May
6J,6200 OLD HARFORD RD,LARCENY,Other,M,41.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-30,2:00 PM,2023,30,May
6D,100 E Mt Royal Avenue,LARCENY FROM AUTO,Other,F,33.0,WHITE,CENTRAL,2023-05-30,11:00 PM,2023,30,May
7C,4700 POST RD,AUTO THEFT,Other,M,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-30,10:00 PM,2023,30,May
7C,700 MELVILLE AVE,AUTO THEFT,Other,F,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-31,2:00 AM,2023,31,May
